platId	agentId	domain	type
54	-1	bcpt.688bccp.com	3	1
54	-1	www.688bccp.com	1	1
54	-1	688bccp.com	1	1
46	2309	lbpt.88bccp.com	3	1
46	2260	lb.88bccp.com	1	1
48	-1	sscpt.2373z.com	3	1
48	-1	2373a.com	1	1
48	-1	2373b.com	1	1
48	-1	2373c.com	1	1
48	-1	2373d.com	1	1
48	-1	2373e.com	1	1
48	-1	2373f.com	1	1
48	-1	2373g.com	1	1
48	-1	2373h.com	1	1
48	-1	2373i.com	1	1
48	-1	2373j.com	1	1
48	-1	2373k.com	1	1
48	-1	2373l.com	1	1
48	2411	2373m.com	1	1
48	-1	2373n.com	1	1
48	-1	2373o.com	1	1
48	-1	2373p.com	1	1
48	-1	2373q.com	1	1
48	-1	2373r.com	1	1
48	-1	2373s.com	1	1
48	-1	2373t.com	1	1
48	-1	2373u.com	1	1
48	-1	2373v.com	1	1
48	-1	2373w.com	1	1
48	-1	2373x.com	1	1
48	-1	2373y.com	1	1
48	-1	2373z.com	1	1
48	-1	www.2373a.com	1	1
48	-1	www.2373b.com	1	1
48	-1	www.2373c.com	1	1
48	-1	www.2373d.com	1	1
48	-1	www.2373e.com	1	1
48	-1	www.2373f.com	1	1
48	-1	www.2373g.com	1	1
48	-1	www.2373h.com	1	1
48	-1	www.2373i.com	1	1
48	-1	www.2373j.com	1	1
48	-1	www.2373k.com	1	1
48	-1	www.2373l.com	1	1
48	2411	www.2373m.com	1	1
48	-1	www.2373n.com	1	1
48	-1	www.2373o.com	1	1
48	-1	www.2373p.com	1	1
48	-1	www.2373q.com	1	1
48	-1	www.2373r.com	1	1
48	-1	www.2373s.com	1	1
48	-1	www.2373t.com	1	1
48	-1	www.2373u.com	1	1
48	-1	www.2373v.com	1	1
48	-1	www.2373w.com	1	1
48	-1	www.2373x.com	1	1
48	-1	www.2373y.com	1	1
48	-1	www.2373z.com	1	1
48	-1	agent.2373a.com	2	1
48	2403	101125.com	1	1
48	2404	101129.com	1	1
48	2405	101136.com	1	1
48	2406	101156.com	1	1
48	2407	101220.com	1	1
48	2408	101282.com	1	1
48	2409	101302.com	1	1
48	2410	101363.com	1	1
48	2412	102386.com	1	1
48	-1	102686.com	1	1
48	2413	102816.com	1	1
48	2414	103105.com	1	1
48	2415	103107.com	1	1
48	2416	103186.com	1	1
48	2417	103606.com	1	1
48	2418	103686.com	1	1
48	2419	105583.com	1	1
48	2420	105586.com	1	1
48	2421	105636.com	1	1
48	2422	106036.com	1	1
48	2423	106056.com	1	1
48	2424	106076.com	1	1
48	-1	106096.com	1	1
48	-1	106135.com	1	1
48	-1	106165.com	1	1
48	-1	106167.com	1	1
48	-1	106195.com	1	1
48	-1	106216.com	1	1
48	-1	106235.com	1	1
48	-1	106260.com	1	1
48	-1	106265.com	1	1
48	-1	106267.com	1	1
48	-1	106276.com	1	1
48	-1	106295.com	1	1
48	-1	106316.com	1	1
48	-1	106326.com	1	1
48	-1	106356.com	1	1
48	-1	106367.com	1	1
48	2402	www.101072.com	1	1
48	2403	www.101125.com	1	1
48	2404	www.101129.com	1	1
48	2405	www.101136.com	1	1
48	2406	www.101156.com	1	1
48	2407	www.101220.com	1	1
48	2408	www.101282.com	1	1
48	2409	www.101302.com	1	1
48	2410	www.101363.com	1	1
48	2412	www.102386.com	1	1
48	-1	www.102686.com	1	1
48	2413	www.102816.com	1	1
48	2414	www.103105.com	1	1
48	2415	www.103107.com	1	1
48	2416	www.103186.com	1	1
48	2417	www.103606.com	1	1
48	2418	www.103686.com	1	1
48	2419	www.105583.com	1	1
48	2420	www.105586.com	1	1
48	2421	www.105636.com	1	1
48	2422	www.106036.com	1	1
48	2423	www.106056.com	1	1
48	2424	www.106076.com	1	1
48	-1	www.106096.com	1	1
48	-1	www.106135.com	1	1
48	-1	www.106165.com	1	1
48	-1	www.106167.com	1	1
48	-1	www.106195.com	1	1
48	-1	www.106216.com	1	1
48	-1	www.106235.com	1	1
48	-1	www.106260.com	1	1
48	-1	www.106265.com	1	1
48	-1	www.106267.com	1	1
48	-1	www.106276.com	1	1
48	-1	www.106295.com	1	1
48	-1	www.106316.com	1	1
48	-1	www.106326.com	1	1
48	-1	www.106356.com	1	1
48	-1	www.106367.com	1	1
48	2401	www.101062.com	1	1
48	2402	101072.com	1	1
48	2401	101062.com	1	1
52	-1	szcp111.com	3	1
52	2487	szcp222.com	1	1
